CarParkID,Development,LotType,Agency,id,lat,lng
U6,BLK 150/158 BUKIT BATOK STREET 11,C,HDB,U6_C,1.348029518,103.7441035
U7,BLK 159/164 BUKIT BATOK STREET 11,C,HDB,U7_C,1.348707664,103.7420927
U8,BLK 165/168 BUKIT BATOK WEST AVENUE 8,C,HDB,U8_C,1.347161979,103.7418946
U9,BLK 169/177 BUKIT BATOK WEST AVENUE 8,C,HDB,U9_C,1.345845573,103.7411926
W3,BLK 4A/6A WOODLANDS CENTRE ROAD,C,HDB,W3_C,1.4406995,103.7695026
W4,BLK 6/7 MARSILING DRIVE,C,HDB,W4_C,1.442458149,103.7767461
W5,BLK 10/13 MARSILING LANE,C,HDB,W5_C,1.440754097,103.7781943
W6,BLK 15/16 MARSILING LANE,C,HDB,W6_C,1.442102474,103.777954
W7,BLK 17/21 MARSILING LANE,C,HDB,W7_C,1.443136124,103.7776083
Y1,BLK 101/102 YISHUN AVE 5,C,HDB,Y1_C,1.430844543,103.8280357
Y2,BLK 103/111 YISHUN RING ROAD,C,HDB,Y2_C,1.432166554,103.8280589
Y3,BLK 112/120 YISHUN RING ROAD,C,HDB,Y3_C,1.434711422,103.8288865
Y4,BLK 121/143 YISHUN STREET 11/RING ROAD,C,HDB,Y4_C,1.434754103,103.8315408
Y5,BLK 144/149 YISHUN STREET 11,C,HDB,Y5_C,1.431114532,103.8321076
Y6,BLK 150/161 YISHUN STREET 11,C,HDB,Y6_C,1.432523042,103.8341941
Y7,BLK 701/716 & 701B YISHUN AVENUE 5,C,HDB,Y7_C,1.427301818,103.8274505
Y8,"BLK 731/746 YISHUN STREET 71,72/AVENUE 5",C,HDB,Y8_C,1.429444919,103.8312781
Y9,BLK 747/752 YISHUN STREET 72,C,HDB,Y9_C,1.427830914,103.8340126
A10,BLK 201/202 ANG MO KIO STREET 22,C,HDB,A10_C,1.368632982,103.844524
A11,BLK 223/226/226A-226D ANG MO KIO ST 22,C,HDB,A11_C,1.367035534,103.8381811
A12,BLK 229/230 ANG MO KIO ST 22,C,HDB,A12_C,1.368509827,103.8386753
A13,BLK 232/233 ANG MO KIO ST 22,C,HDB,A13_C,1.368000222,103.8368096
A15,BLK 226E-226H ANG MO KIO ST 22,C,HDB,A15_C,1.36696761,103.8404175
A20,BLK 304/307/319 ANG MO KIO ST 31,C,HDB,A20_C,1.364943381,103.8484571
A21,BLK 325/326/301 ANG MO KIO STREET 31,C,HDB,A21_C,1.368127559,103.8463132
A24,BLK 338/340 ANG MO KIO ST 32,C,HDB,A24_C,1.364753412,103.8493977
A25,BLK 330/337 ANG MO KIO AVE 8,C,HDB,A25_C,1.362769307,103.8516275
A26,BLK 113/114/118 ANG MO KIO AVE 4,C,HDB,A26_C,1.372770202,103.8354476
A27,BLK 108/109/110 ANG MO KIO ST 11,C,HDB,A27_C,1.370363052,103.8383207
A28,BLK 103/105/107 ANG MO KIO ST 11,C,HDB,A28_C,1.371649928,103.8374643
A29,BLK 347 ANG MO KIO AVENUE 3,C,HDB,A29_C,1.367361242,103.8487183
A30,BLK 129/134 ANG MO KIO STREET 12,C,HDB,A30_C,1.370989747,103.842419
A31,BLK 119/128 ANG MO KIO ST 12,C,HDB,A31_C,1.370451119,103.8436999
A33,BLK 253/254 ANG MO KIO STREET 21,C,HDB,A33_C,1.369886364,103.8345405
A34,BLK 422/425 ANG MO KIO ST 42,C,HDB,A34_C,1.368356473,103.8516674
A35,BLK 426/428/435 ANG MO KIO ST 43,C,HDB,A35_C,1.368646393,103.8540815
A36,BLK 436/443/445 ANG MO KIO ST 43,C,HDB,A36_C,1.366407128,103.8552788
A37,BLK 446/449/453 ANG MO KIO ST 43,C,HDB,A37_C,1.368113068,103.8555566
A38,BLK 407/410/421 ANG MO KIO AVE 10,C,HDB,A38_C,1.363963706,103.8545884
A39,BLK 401/405 ANG MO KIO AVE 10,C,HDB,A39_C,1.361151022,103.8540722
A40,BLK 471/476 ANG MO KIO ST 44,C,HDB,A40_C,1.362356151,103.8569821
A41,BLK 466/470 ANG MO KIO ST 44,C,HDB,A41_C,1.364936935,103.8569326
A42,BLK 461/465 ANG MO KIO ST 44,C,HDB,A42_C,1.366580182,103.8573639
A43,BLK 457/458/460 ANG MO KIO ST 44,C,HDB,A43_C,1.365996736,103.8592673
A44,BLK 459/456 ANG MO KIO ST 44,C,HDB,A44_C,1.367205743,103.8589905
A45,BLK 570/578 ANG MO KIO ST 51,C,HDB,A45_C,1.370917693,103.8552305
A47,BLK 562/565/560 ANG MO KIO STREET 54,C,HDB,A47_C,1.370558167,103.8592466
A48,BLK 571/73 ANG MO KIO ST 51,C,HDB,A48_C,1.370371281,103.8546523
A49,BLK 555/559 ANG MO KIO STREET 54,C,HDB,A49_C,1.371329606,103.8577971
A50,BLK 548/552/556 ANG MO KIO STREET 54,C,HDB,A50_C,1.372522464,103.8576096
A51,BLK 252/253A ANG MO KIO STREET 21,C,HDB,A51_C,1.369470739,103.8343753
A52,BLK 701/716 ANG MO KIO AVE 3/6,C,HDB,A52_C,1.370385433,103.8469225
A53,BLK 712A ANG MO KIO AVE 3/6,C,HDB,A53_C,1.370865023,103.8468773
A54,BLK 727/728 ANG MO KIO AVE 6,C,HDB,A54_C,1.372434359,103.8459154
A59,BLK 547/551 ANG MO KIO ST 54,C,HDB,A59_C,1.373896221,103.8581398
A60,BLK 540/546 ANG MO KIO ST 54,C,HDB,A60_C,1.374464495,103.8559134
A61,BLK 520/534/529 ANG MO KIO AVE 5/10,C,HDB,A61_C,1.374170446,103.85216
A63,BLK 501/513/508 ANG MO KIO ST 52/53,C,HDB,A63_C,1.375176821,103.8493957
A64,BLK 584/586 ANG MO KIO ST 51,C,HDB,A64_C,1.370506585,103.8534735
A65,BLK 558/560 ANG MO KIO STREET 54,C,HDB,A65_C,1.371029159,103.8594172
A66,BLK 601/604/603 ANG MO KIO AVE 5,C,HDB,A66_C,1.380544931,103.8356606
A67,BLK 605/612 ANG MO KIO AVE 4/5,C,HDB,A67_C,1.379686324,103.8378049
A68,BLK 620/624/626 ANG MO KIO ST 61,C,HDB,A68_C,1.381897619,103.8398542
A69,BLK 623/625/627 ANG MO KIO ST 61,C,HDB,A69_C,1.381641458,103.8419454
A70,BLK 629/626 ANG MO KIO AVE 4,C,HDB,A70_C,1.380620641,103.8401072
A71,BLK 628/632 ANG MO KIO ST 61,C,HDB,A71_C,1.380009094,103.8407419
A72,BLK 633/640 ANG MO KIO ST 61,C,HDB,A72_C,1.380760963,103.8435303
A73,BLK 641/645 ANG MO KIO ST 61,C,HDB,A73_C,1.378848189,103.8408247
A74,BLK 646/649 ANG MO KIO ST 61,C,HDB,A74_C,1.37865168,103.8438047
A75,BLK 177/182 ANG MO KIO AVE 4,C,HDB,A75_C,1.376086591,103.8385877
A76,BLK 613A ANG MO KIO AVENUE 4,C,HDB,A76_C,1.377977112,103.8388348
A77,BLK 150/156 ANG MO KIO AVE 5,C,HDB,A77_C,1.376251001,103.8399554
A78,BLK 157/163 ANG MO KIO AVE 4,C,HDB,A78_C,1.374648501,103.8383868
A81,BLK 170/172 ANG MO KIO ST 13,C,HDB,A81_C,1.374355553,103.8364788
A82,BLK 173/176 ANG MO KIO AVE 4,C,HDB,A82_C,1.375674922,103.8363987
A85,BLK 340 ANG MO KIO ST 32,C,HDB,A85_C,1.365107378,103.8497094
A87,BLK 462/463 ANG MO KIO ST 44,C,HDB,A87_C,1.366826359,103.8578842
A88,BLK 348 ANG MO KIO AVE 3,C,HDB,A88_C,1.366280716,103.8472665
A94,BLK 104C ANG MO KIO STREET 11,C,HDB,A94_C,1.371859827,103.838316
A98,BLK 259 ANG MO KIO AVE 2,C,HDB,A98_C,1.369164311,103.8318542
