SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
PEOPLE'S PARK,OTSZ02,OUTRAM,OT,CENTRAL REGION,CR
MOUNTBATTEN,MPSZ01,MARINE PARADE,MP,CENTRAL REGION,CR
ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
PULAU PUNGGOL TIMOR,SLSZ03,SELETAR,SL,NORTH-EAST REGION,NER
TURF CLUB,SKSZ02,SUNGEI KADUT,SK,NORTH REGION,NR
WOODLANDS SOUTH,WDSZ04,WOODLANDS,WD,NORTH REGION,NR
WOODGROVE,WDSZ05,WOODLANDS,WD,NORTH REGION,NR
YISHUN EAST,YSSZ03,YISHUN,YS,NORTH REGION,NR
MURAI,WCSZ01,WESTERN WATER CATCHMENT,WC,WEST REGION,WR
PULAU PUNGGOL BARAT,SLSZ02,SELETAR,SL,NORTH-EAST REGION,NER
YISHUN WEST,YSSZ09,YISHUN,YS,NORTH REGION,NR
WOODLANDS REGIONAL CENTRE,WDSZ01,WOODLANDS,WD,NORTH REGION,NR
NORTH-EASTERN ISLANDS,NESZ01,NORTH-EASTERN ISLANDS,NE,NORTH-EAST REGION,NER
SIMPANG SOUTH,SMSZ03,SIMPANG,SM,NORTH REGION,NR
NORTHLAND,YSSZ02,YISHUN,YS,NORTH REGION,NR
MIDVIEW,WDSZ02,WOODLANDS,WD,NORTH REGION,NR
WOODLANDS WEST,WDSZ06,WOODLANDS,WD,NORTH REGION,NR
SEMBAWANG SPRINGS,SBSZ02,SEMBAWANG,SB,NORTH REGION,NR
KRANJI,SKSZ01,SUNGEI KADUT,SK,NORTH REGION,NR
RESERVOIR VIEW,SKSZ05,SUNGEI KADUT,SK,NORTH REGION,NR
WOODLANDS EAST,WDSZ03,WOODLANDS,WD,NORTH REGION,NR
SEMBAWANG CENTRAL,SBSZ03,SEMBAWANG,SB,NORTH REGION,NR
GREENWOOD PARK,WDSZ07,WOODLANDS,WD,NORTH REGION,NR
SEMBAWANG EAST,SBSZ01,SEMBAWANG,SB,NORTH REGION,NR
SENOKO WEST,WDSZ08,WOODLANDS,WD,NORTH REGION,NR
PULAU SELETAR,SMSZ04,SIMPANG,SM,NORTH REGION,NR
ADMIRALTY,SBSZ05,SEMBAWANG,SB,NORTH REGION,NR
LIM CHU KANG,LKSZ01,LIM CHU KANG,LK,NORTH REGION,NR
SIMPANG NORTH,SMSZ01,SIMPANG,SM,NORTH REGION,NR
SENOKO SOUTH,SBSZ09,SEMBAWANG,SB,NORTH REGION,NR
SEMBAWANG NORTH,SBSZ04,SEMBAWANG,SB,NORTH REGION,NR
TANJONG IRAU,SMSZ02,SIMPANG,SM,NORTH REGION,NR
NORTH COAST,WDSZ09,WOODLANDS,WD,NORTH REGION,NR
PLAB,PLSZ05,PAYA LEBAR,PL,EAST REGION,ER
MANDAI EAST,MDSZ02,MANDAI,MD,NORTH REGION,NR
NEE SOON,YSSZ07,YISHUN,YS,NORTH REGION,NR
UPPER THOMSON,BSSZ01,BISHAN,BS,CENTRAL REGION,CR
SHANGRI-LA,AMSZ05,ANG MO KIO,AM,NORTH-EAST REGION,NER
TOWNSVILLE,AMSZ04,ANG MO KIO,AM,NORTH-EAST REGION,NER
MARYMOUNT,BSSZ02,BISHAN,BS,CENTRAL REGION,CR
TUAS VIEW EXTENSION,TSSZ06,TUAS,TS,WEST REGION,WR
